student_id,course_id,semester,grade,attendance_rate
47,1,Fall 2025,A,79.69
47,5,Fall 2025,C,70.56
47,3,Fall 2025,F,87.5
47,9,Fall 2025,B,96.36
48,1,Fall 2025,B,92.39
48,3,Fall 2025,F,90.07
48,11,Spring 2026,B,89.29
48,5,Spring 2026,D,89.95
49,10,Spring 2026,C,78.3
49,3,Fall 2025,B,94.65
49,5,Fall 2025,B,91.86
49,2,Spring 2026,A,86.18
49,12,Spring 2026,C,77.8
49,8,Fall 2025,C,78.07
50,8,Spring 2026,,95.55
50,11,Spring 2026,A,92.08
50,12,Fall 2025,D,70.53
50,1,Fall 2025,D,61.28
50,2,Spring 2026,B,79.07
50,10,Spring 2026,F,90.74
51,6,Spring 2026,B,64.54
51,2,Spring 2026,B,80.77
51,11,Spring 2026,B,89.81
51,4,Spring 2026,A,63.08
51,1,Spring 2026,A,92.47
51,8,Spring 2026,A,85.01
51,9,Spring 2026,C,80.02
52,9,Fall 2025,F,72.61
52,1,Spring 2026,F,84.88
52,7,Fall 2025,A,61.33
52,10,Fall 2025,D,80.05
52,8,Fall 2025,,75.46
52,3,Spring 2026,A,72.07
53,11,Spring 2026,A,63.85
53,1,Fall 2025,B,79.75
53,2,Spring 2026,D,90.13
53,3,Fall 2025,F,60.16
53,7,Spring 2026,F,71.97
54,11,Spring 2026,C,85.79
54,8,Spring 2026,A,86.6
54,2,Spring 2026,F,98.1
54,7,Spring 2026,D,74.91
54,9,Fall 2025,F,93.08
54,1,Spring 2026,D,67.12
54,12,Fall 2025,F,85.07
55,3,Fall 2025,F,97.66
55,6,Spring 2026,D,88.21
55,4,Fall 2025,C,87.45
56,3,Fall 2025,F,95.94
56,4,Spring 2026,C,76.89
56,6,Fall 2025,F,69.32
56,1,Fall 2025,,87.39
56,7,Spring 2026,F,96.85
56,9,Fall 2025,C,85.53
56,12,Fall 2025,B,77.58
57,8,Spring 2026,D,99.26
57,5,Fall 2025,D,89.22
57,11,Fall 2025,B,93.68
57,2,Spring 2026,,67.22
57,1,Fall 2025,F,62.3
57,10,Spring 2026,D,77.23
58,3,Spring 2026,F,84.85
58,2,Fall 2025,F,85.71
58,1,Spring 2026,F,89.27
58,11,Fall 2025,C,86.53
58,10,Spring 2026,F,72.88
59,5,Fall 2025,C,81.07
59,2,Fall 2025,B,67.13
59,1,Spring 2026,B,71.2
59,6,Fall 2025,F,77.66
59,4,Spring 2026,B,66.34
59,11,Spring 2026,B,62.87
59,3,Fall 2025,C,85.03
60,2,Fall 2025,A,99.28
60,9,Spring 2026,C,75.52
60,11,Spring 2026,D,68.74
60,7,Fall 2025,F,71.7
60,12,Spring 2026,C,81.43
61,2,Fall 2025,B,96.78
61,4,Fall 2025,B,71.38
61,11,Spring 2026,B,74.53
61,12,Spring 2026,A,61.38
62,10,Spring 2026,F,97.46
62,5,Spring 2026,B,64.97
62,9,Spring 2026,B,61.93
62,6,Fall 2025,B,64.36
62,12,Fall 2025,D,84.24
63,2,Spring 2026,A,61.0
63,10,Fall 2025,C,65.75
63,6,Fall 2025,F,61.6
63,8,Spring 2026,D,78.06
63,3,Fall 2025,D,61.44
63,11,Spring 2026,A,91.52
64,11,Fall 2025,F,78.11
64,1,Fall 2025,C,91.99
64,12,Spring 2026,F,80.94
64,10,Spring 2026,D,91.86
64,7,Spring 2026,F,64.72
65,9,Fall 2025,F,89.39
65,3,Spring 2026,A,89.5
65,7,Spring 2026,A,85.85
65,12,Fall 2025,A,91.32
66,1,Spring 2026,C,71.01
66,8,Fall 2025,A,95.12
66,9,Fall 2025,F,85.58
66,5,Fall 2025,F,91.09
66,4,Fall 2025,D,67.58
67,10,Fall 2025,C,89.07
67,1,Spring 2026,F,82.1
67,3,Fall 2025,F,96.9
67,9,Fall 2025,C,65.71
68,1,Fall 2025,D,92.11
68,8,Spring 2026,D,98.06
68,4,Fall 2025,C,99.45
68,3,Spring 2026,C,72.16
68,12,Fall 2025,A,66.82
68,2,Fall 2025,A,81.98
69,11,Fall 2025,B,77.25
69,7,Spring 2026,A,87.08
69,6,Fall 2025,F,82.03
69,5,Spring 2026,D,68.08
70,7,Fall 2025,A,80.0
70,11,Spring 2026,,67.78
70,12,Fall 2025,,63.2
71,2,Spring 2026,A,63.63
71,12,Fall 2025,B,80.77
71,5,Spring 2026,,67.38
71,10,Spring 2026,A,67.63
71,6,Fall 2025,B,80.23
71,7,Fall 2025,C,89.09
72,9,Fall 2025,A,79.87
72,2,Fall 2025,C,72.66
72,4,Spring 2026,B,94.73
72,5,Spring 2026,F,83.82
72,10,Spring 2026,A,62.51
72,6,Fall 2025,B,64.78
73,6,Fall 2025,F,70.01
73,2,Fall 2025,B,82.77
73,12,Fall 2025,A,64.74
73,1,Spring 2026,F,61.54
73,10,Spring 2026,B,91.49
74,1,Spring 2026,B,83.36
74,12,Fall 2025,A,68.01
74,9,Spring 2026,D,63.28
74,6,Fall 2025,,98.95
74,10,Spring 2026,C,78.89
75,5,Spring 2026,C,95.82
75,10,Fall 2025,C,89.4
75,9,Fall 2025,A,82.04
75,2,Spring 2026,C,76.41
76,10,Spring 2026,F,92.05
76,6,Spring 2026,C,62.2
76,4,Fall 2025,,63.38
76,1,Fall 2025,F,93.12
76,9,Fall 2025,D,76.82
77,7,Fall 2025,A,73.24
77,6,Spring 2026,C,90.66
77,4,Fall 2025,,96.28
77,1,Fall 2025,B,87.54
77,5,Fall 2025,A,72.35
77,3,Fall 2025,B,60.22
78,1,Spring 2026,D,70.22
78,3,Fall 2025,A,95.42
78,7,Fall 2025,C,67.7
79,10,Spring 2026,B,61.05
79,4,Fall 2025,A,69.61
79,1,Fall 2025,B,99.19
79,2,Fall 2025,A,96.46
79,3,Spring 2026,D,99.77
79,11,Spring 2026,F,82.23
79,6,Fall 2025,C,92.29
80,3,Fall 2025,B,75.99
80,9,Fall 2025,B,61.74
80,1,Fall 2025,D,66.25
80,6,Fall 2025,B,82.74
80,8,Fall 2025,B,77.06
80,10,Spring 2026,C,77.39
81,3,Fall 2025,D,70.38
81,1,Fall 2025,D,82.38
81,11,Fall 2025,B,74.2
81,12,Spring 2026,,93.11
81,2,Spring 2026,B,86.39
82,10,Fall 2025,F,77.54
82,5,Spring 2026,A,83.53
82,7,Spring 2026,D,94.62
83,1,Spring 2026,A,84.13
83,8,Spring 2026,B,66.88
83,12,Spring 2026,D,88.92
83,2,Spring 2026,B,60.53
83,7,Spring 2026,A,95.64
83,4,Spring 2026,C,89.2
84,9,Fall 2025,F,75.38
84,2,Fall 2025,C,65.06
84,3,Spring 2026,F,80.97
84,1,Fall 2025,B,61.88
84,5,Fall 2025,D,88.5
84,12,Spring 2026,F,65.72
85,6,Spring 2026,D,82.0
85,8,Fall 2025,D,83.51
85,10,Fall 2025,F,87.17
85,12,Spring 2026,D,73.85
85,7,Spring 2026,A,82.34
85,1,Fall 2025,D,62.96
85,9,Spring 2026,F,64.21
86,2,Spring 2026,F,91.85
86,8,Fall 2025,B,70.72
86,6,Fall 2025,C,78.59
86,12,Fall 2025,C,83.16
86,10,Spring 2026,D,86.14
86,3,Fall 2025,C,96.69
87,11,Spring 2026,B,62.2
87,6,Spring 2026,A,65.38
87,5,Spring 2026,D,71.61
88,9,Spring 2026,C,95.43
88,1,Spring 2026,A,74.18
88,11,Spring 2026,F,83.54
88,2,Spring 2026,B,87.16
89,12,Spring 2026,B,80.13
89,2,Spring 2026,A,93.18
89,11,Fall 2025,D,71.07
89,9,Fall 2025,D,81.21
89,5,Fall 2025,C,63.37
89,1,Spring 2026,F,60.61
89,7,Fall 2025,D,62.19
90,2,Spring 2026,C,65.11
90,1,Fall 2025,A,77.41
90,9,Fall 2025,B,60.83
90,6,Spring 2026,D,76.15
90,12,Fall 2025,A,93.05
90,5,Spring 2026,A,84.52
90,3,Fall 2025,D,96.88
91,6,Spring 2026,C,98.23
91,3,Spring 2026,D,62.85
91,7,Fall 2025,A,67.55
91,4,Spring 2026,D,76.01
91,12,Spring 2026,F,80.29
92,1,Fall 2025,B,92.5
92,9,Spring 2026,,60.55
92,6,Fall 2025,F,68.16
92,10,Fall 2025,D,76.34
92,3,Spring 2026,B,65.35
93,1,Spring 2026,A,62.74
93,11,Spring 2026,,92.45
93,7,Spring 2026,D,70.68
93,6,Spring 2026,B,73.57
93,3,Fall 2025,F,90.22
94,9,Fall 2025,B,62.95
94,6,Spring 2026,A,74.72
94,12,Spring 2026,B,87.7
95,1,Fall 2025,B,72.47
95,6,Spring 2026,B,93.13
95,5,Spring 2026,A,92.77
95,8,Fall 2025,B,62.99
95,3,Fall 2025,A,74.13
95,2,Spring 2026,A,74.57
95,4,Spring 2026,B,70.63
96,6,Spring 2026,C,69.08
96,10,Fall 2025,C,96.29
96,4,Fall 2025,B,79.86
97,8,Fall 2025,F,84.2
97,7,Spring 2026,C,62.6
97,3,Fall 2025,C,94.99
97,10,Spring 2026,B,74.19
97,2,Spring 2026,C,60.53
98,6,Spring 2026,C,88.43
98,3,Spring 2026,D,82.22
98,1,Spring 2026,F,67.68
98,10,Fall 2025,B,91.22
99,3,Spring 2026,A,90.15
99,5,Fall 2025,B,75.06
99,4,Spring 2026,B,76.1
99,12,Spring 2026,C,95.11
100,11,Spring 2026,A,90.45
100,7,Spring 2026,C,70.64
100,12,Fall 2025,B,76.62
100,3,Spring 2026,A,70.57
101,6,Spring 2026,D,95.82
101,2,Fall 2025,C,69.99
101,9,Fall 2025,C,76.61
101,7,Spring 2026,C,90.57
101,8,Fall 2025,,61.84
101,11,Fall 2025,B,93.08
102,12,Fall 2025,A,82.62
102,6,Fall 2025,C,87.09
102,3,Spring 2026,F,62.58
102,2,Fall 2025,A,84.79
103,11,Fall 2025,B,99.37
103,7,Fall 2025,B,65.1
103,6,Spring 2026,B,64.3
103,2,Fall 2025,D,89.51
104,5,Spring 2026,D,76.2
104,1,Spring 2026,F,92.92
104,10,Fall 2025,C,97.75
104,2,Spring 2026,B,94.8
105,5,Spring 2026,A,95.82
105,9,Fall 2025,B,95.32
105,3,Spring 2026,B,67.26
105,2,Fall 2025,D,60.72
105,11,Fall 2025,D,81.25
106,8,Fall 2025,D,62.54
106,9,Spring 2026,B,80.35
106,3,Spring 2026,C,80.43
106,6,Spring 2026,A,71.99
106,12,Spring 2026,C,96.23
106,10,Spring 2026,B,87.09
107,8,Fall 2025,C,82.64
107,9,Fall 2025,D,72.63
107,4,Fall 2025,B,74.13
107,10,Spring 2026,B,97.37
107,2,Spring 2026,D,60.46
107,12,Fall 2025,F,74.59
107,7,Fall 2025,D,66.88
108,12,Fall 2025,F,88.42
108,7,Spring 2026,F,65.57
108,6,Fall 2025,F,97.08
109,7,Spring 2026,B,96.96
109,5,Spring 2026,C,63.95
109,1,Fall 2025,B,88.26
109,2,Spring 2026,C,70.56
109,6,Fall 2025,C,96.94
109,11,Spring 2026,F,61.99
109,12,Spring 2026,A,67.53
110,6,Fall 2025,F,82.29
110,8,Spring 2026,C,94.22
110,10,Spring 2026,A,92.31
110,12,Spring 2026,C,80.17
110,2,Fall 2025,B,91.53
110,1,Spring 2026,F,73.92
111,4,Fall 2025,D,75.22
111,10,Spring 2026,C,94.69
111,2,Fall 2025,F,63.27
111,9,Fall 2025,C,86.14
111,11,Fall 2025,C,64.5
111,12,Spring 2026,D,80.65
112,10,Fall 2025,F,75.42
112,4,Fall 2025,A,71.31
112,6,Spring 2026,D,88.33
112,2,Fall 2025,D,64.41
112,5,Fall 2025,B,80.99
113,10,Fall 2025,D,80.47
113,6,Spring 2026,C,78.28
113,4,Fall 2025,C,95.15
113,8,Fall 2025,F,67.77
113,3,Fall 2025,A,68.28
113,5,Fall 2025,D,99.82
113,7,Fall 2025,F,74.91
114,4,Fall 2025,F,71.01
114,3,Spring 2026,B,86.54
114,5,Spring 2026,F,95.64
114,10,Spring 2026,D,96.24
114,6,Fall 2025,D,64.44
115,8,Spring 2026,C,74.56
115,4,Spring 2026,F,87.33
115,6,Spring 2026,D,81.35
116,11,Spring 2026,C,96.04
116,10,Fall 2025,F,74.09
116,8,Spring 2026,A,74.02
117,4,Fall 2025,B,61.6
117,5,Spring 2026,A,99.02
117,6,Spring 2026,C,69.57
117,11,Spring 2026,C,83.72
117,10,Fall 2025,F,78.2
118,2,Spring 2026,C,80.41
118,6,Spring 2026,F,90.91
118,1,Spring 2026,D,92.33
118,7,Spring 2026,F,72.34
118,8,Fall 2025,C,86.38
118,4,Spring 2026,,72.63
118,12,Spring 2026,C,93.92
119,10,Spring 2026,D,76.02
119,4,Spring 2026,F,93.59
119,7,Spring 2026,A,87.59
119,2,Spring 2026,F,77.27
120,7,Fall 2025,D,81.05
120,2,Fall 2025,F,61.3
120,12,Spring 2026,C,82.17
120,8,Fall 2025,C,77.27
120,9,Spring 2026,C,82.32
120,5,Fall 2025,B,86.28
121,12,Spring 2026,A,80.61
121,2,Fall 2025,C,84.11
121,1,Spring 2026,C,87.54
121,7,Spring 2026,A,73.3
121,5,Spring 2026,F,95.54
121,4,Spring 2026,A,95.55
121,9,Spring 2026,B,83.23
122,8,Spring 2026,F,96.8
122,10,Fall 2025,C,71.94
122,1,Fall 2025,D,83.65
122,6,Spring 2026,A,88.49
122,9,Fall 2025,D,85.01
122,12,Fall 2025,B,68.68
122,7,Spring 2026,D,82.33
123,4,Fall 2025,D,61.64
123,2,Fall 2025,F,71.2
123,9,Spring 2026,C,95.84
123,1,Fall 2025,A,78.05
123,12,Fall 2025,B,61.16
123,5,Fall 2025,D,89.56
123,11,Fall 2025,A,97.77
124,1,Spring 2026,B,99.22
124,9,Fall 2025,A,62.47
124,3,Fall 2025,B,70.14
124,5,Fall 2025,D,60.97
125,9,Spring 2026,F,87.31
125,8,Fall 2025,B,74.98
125,7,Spring 2026,A,72.29
126,12,Spring 2026,D,75.18
126,4,Fall 2025,C,99.39
126,9,Spring 2026,F,89.76
126,3,Fall 2025,C,79.94
126,11,Fall 2025,C,74.03
126,10,Spring 2026,F,96.31
126,7,Fall 2025,B,66.53
127,5,Fall 2025,C,75.49
127,4,Fall 2025,D,65.57
127,9,Fall 2025,D,65.38
127,11,Fall 2025,D,91.91
127,8,Spring 2026,C,68.2
128,4,Spring 2026,A,62.24
128,12,Fall 2025,F,87.97
128,5,Spring 2026,B,91.03
128,1,Spring 2026,F,83.9
128,2,Spring 2026,C,70.48
128,8,Spring 2026,F,96.89
129,2,Spring 2026,A,62.8
129,12,Spring 2026,F,90.22
129,9,Spring 2026,D,60.28
129,5,Spring 2026,F,94.9
129,10,Spring 2026,C,90.33
129,1,Fall 2025,B,64.27
129,3,Spring 2026,F,89.25
130,8,Spring 2026,A,98.02
130,10,Fall 2025,F,68.61
130,4,Spring 2026,C,69.57
130,9,Spring 2026,C,88.35
130,3,Fall 2025,C,93.32
131,2,Fall 2025,C,92.57
131,8,Spring 2026,D,84.93
131,4,Fall 2025,F,91.13
131,10,Spring 2026,D,99.61
131,6,Spring 2026,C,86.89
132,7,Spring 2026,A,62.13
132,10,Spring 2026,A,95.72
132,11,Spring 2026,D,80.86
132,8,Fall 2025,A,74.34
132,3,Spring 2026,D,98.44
132,6,Fall 2025,D,79.75
133,1,Fall 2025,F,82.69
133,10,Fall 2025,B,61.93
133,3,Spring 2026,A,63.31
133,4,Spring 2026,D,69.73
134,5,Fall 2025,F,77.54
134,9,Spring 2026,D,63.11
134,7,Fall 2025,D,99.66
134,2,Fall 2025,C,64.4
134,10,Spring 2026,D,84.22
135,2,Spring 2026,C,79.76
135,11,Fall 2025,C,71.7
135,8,Fall 2025,B,63.79
135,3,Spring 2026,A,89.74
135,6,Spring 2026,B,67.27
135,10,Spring 2026,D,68.25
135,9,Spring 2026,D,79.55
136,7,Fall 2025,B,63.23
136,5,Spring 2026,C,66.41
136,2,Fall 2025,D,96.67
136,8,Spring 2026,D,65.38
136,9,Fall 2025,F,67.5
136,12,Spring 2026,B,66.58
136,6,Fall 2025,F,94.29
137,1,Fall 2025,A,80.39
137,5,Spring 2026,C,94.85
137,10,Spring 2026,B,90.56
138,11,Fall 2025,F,82.13
138,2,Fall 2025,D,69.25
138,6,Spring 2026,F,76.98
138,9,Fall 2025,A,91.77
138,12,Spring 2026,C,99.41
138,4,Fall 2025,D,70.01
139,11,Spring 2026,B,82.22
139,3,Spring 2026,D,79.32
139,10,Spring 2026,C,99.39
139,5,Fall 2025,B,99.69
140,11,Fall 2025,,74.22
140,2,Fall 2025,F,84.59
140,7,Spring 2026,F,74.92
140,6,Spring 2026,B,80.02
140,3,Fall 2025,B,85.75
140,1,Fall 2025,D,78.61
140,8,Fall 2025,,62.06
141,7,Fall 2025,C,90.55
141,11,Fall 2025,B,73.45
141,12,Spring 2026,A,73.11
141,9,Fall 2025,B,79.23
141,6,Fall 2025,D,76.03
142,6,Fall 2025,D,84.77
142,8,Spring 2026,A,61.27
142,4,Fall 2025,D,84.24
142,10,Spring 2026,A,72.93
142,12,Fall 2025,A,64.36
142,3,Fall 2025,B,97.8
142,11,Spring 2026,A,62.9
143,1,Fall 2025,D,83.42
143,2,Fall 2025,A,65.75
143,5,Fall 2025,C,94.74
143,12,Fall 2025,D,83.31
144,11,Fall 2025,A,66.37
144,3,Fall 2025,A,88.39
144,12,Spring 2026,D,79.4
144,6,Spring 2026,,75.64
144,9,Fall 2025,F,89.43
144,1,Fall 2025,C,96.69
145,6,Fall 2025,A,93.17
145,12,Spring 2026,D,83.71
145,8,Spring 2026,C,74.45
145,2,Spring 2026,F,65.21
145,4,Fall 2025,A,78.35
145,5,Fall 2025,C,90.3
146,11,Fall 2025,A,83.6
146,9,Fall 2025,A,91.31
146,4,Spring 2026,C,82.51
146,12,Spring 2026,,84.56
146,6,Spring 2026,D,92.01
146,7,Spring 2026,D,80.9
147,2,Spring 2026,F,77.98
147,11,Spring 2026,D,89.52
147,4,Fall 2025,A,64.13
147,9,Spring 2026,F,76.05
147,7,Spring 2026,A,87.71
148,2,Spring 2026,F,88.9
148,10,Fall 2025,B,92.02
148,1,Fall 2025,D,88.66
148,9,Spring 2026,,74.88
148,5,Spring 2026,A,75.07
148,4,Spring 2026,F,60.28
148,8,Fall 2025,F,99.0
149,3,Fall 2025,A,66.15
149,6,Spring 2026,D,79.21
149,8,Fall 2025,A,73.34
150,12,Fall 2025,C,94.87
150,6,Fall 2025,C,84.67
150,10,Fall 2025,F,64.77
150,4,Fall 2025,F,84.02
151,1,Spring 2026,C,79.98
151,9,Fall 2025,D,97.62
151,10,Fall 2025,A,81.43
151,5,Spring 2026,B,99.5
152,1,Spring 2026,A,82.61
152,2,Fall 2025,B,77.19
152,8,Spring 2026,A,90.27
152,12,Spring 2026,F,92.99
152,6,Spring 2026,F,94.41
153,11,Spring 2026,F,89.34
153,3,Spring 2026,D,77.08
153,5,Spring 2026,B,90.02
154,5,Fall 2025,A,68.15
154,10,Fall 2025,D,68.5
154,7,Spring 2026,D,93.02
154,4,Fall 2025,B,89.53
155,10,Fall 2025,D,89.3
155,1,Fall 2025,B,70.32
155,3,Fall 2025,D,81.83
156,11,Fall 2025,A,88.94
156,2,Fall 2025,D,88.5
156,3,Spring 2026,C,76.45
157,11,Fall 2025,C,71.35
157,7,Fall 2025,A,81.79
157,1,Spring 2026,C,94.82
157,3,Fall 2025,B,97.92
157,6,Fall 2025,D,91.75
157,9,Fall 2025,A,95.89
